ID;Genero;rango_edad;distrito;nivel_educativo;situacion_laboral;nivel_socioeconomico;variedad_productos_financieros;conceptos_ahorro;Tarjeto de Debito;depósitos en cuentas de ahorro/corriente;Préstamos personales;Tarjeta de crédito;Compras en cuotas con tarjeta de crédito;No he utilizado ninguno;prestamos_garantia;inversion_fondos_comunes;diferencias_creditos;leasing;arrendamiento_financiero;creditos_educativos;ventajas_desventajas;menores_edad;mayores_edad;responsable_desiciones;presupuesto;presupuesto_familiar;plan_presupuesto_familiar
319;Masculino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;Si;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;No;Si;Si;Si;Si;Ninguno;Ninguna;Yo mismo/a;Si;Si;Siempre
320;Femenino;26 - 39 años;Distrito 2;Educación técnica o profesional;Estudiante;Medio;Si;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;Ninguno;1;Yo mismo/a;Si;Si;La mayoría de las veces
321;Masculino;26 - 39 años;Distrito 2;Educación universitaria;Empleado a tiempo parcial;Alto;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;No;Si;Si;Si;Si;Ninguno;2;Yo mismo/a;Si;Si;Siempre
322;Femenino;40 años o más;Distrito 2;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;Si;No estoy seguro/a;No;No;No estoy seguro/a;Si;Ninguno;3;Otro;Si;Si;La mayoría de las veces
323;Femenino;26 - 39 años;Distrito 2;Educación universitaria;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No;No;Si;Si;1;2;Yo mismo/a;Si;Si;La mayoría de las veces
324;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;No estoy seguro/a;No estoy seguro/a;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;Si;Si;Si;No estoy seguro/a;No;Si;Si;Ninguno;3;Ambos, en colaboración;Si;Si;Algunas veces
325;Femenino;18 - 25 años;Distrito 2;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;No estoy seguro/a;No;No;No estoy seguro/a;Si;Ninguno;3;Otro;Si;Si;Siempre
326;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;Si;No estoy seguro/a;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;Si;No;Si;No estoy seguro/a;Si;Si;Ninguno;3;Otro;No estoy seguro/a;Si;La mayoría de las veces
327;Femenino;26 - 39 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;No estoy seguro/a;Si;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;No;No;No estoy seguro/a;No;Si;Si;Ninguno;1;Ambos, en colaboración;Si;No;Algunas veces
328;Femenino;26 - 39 años;Distrito 2;Postgrado;Empleado a tiempo completo;Bajo;No estoy seguro/a;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;No;No;No estoy seguro/a;Si;Si;2;3;Yo mismo/a;No;No;No tengo un plan
329;Femenino;40 años o más;Distrito 2;Educación secundaria;Desempleado;Medio;No;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;Si;No;No;Si;Si;2;3;Ambos, en colaboración;No;Si;Siempre
330;Masculino;18 - 25 años;Distrito 2;Educación secundaria;Autónomo;Bajo;No estoy seguro/a;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;Si;No;No;No;Si;2;3;Otro;No estoy seguro/a;No estoy seguro/a;No tengo un plan
331;Femenino;18 - 25 años;Distrito 2;Educación técnica o profesional;Estudiante;Medio;Si;Si;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;No;No estoy seguro/a;No;Si;Si;Si;1;1;Yo mismo/a;No estoy seguro/a;No;No tengo un plan
332;Femenino;40 años o más;Distrito 2;Educación universitaria;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;No;No estoy seguro/a;No estoy seguro/a;Si;Si;1;2;Ambos, en colaboración;Si;Si;Algunas veces
333;Femenino;26 - 39 años;Distrito 2;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;Si;No;Si;Si;No estoy seguro/a;No;No;1;3;Yo mismo/a;Si;No;No tengo un plan
334;Femenino;40 años o más;Distrito 2;Educación primaria;Autónomo;Bajo;No estoy seguro/a;No estoy seguro/a;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;No;No;No;No;No;No;No;2;2;Mi cónyuge o pareja;Si;Si;Siempre
335;Femenino;26 - 39 años;Distrito 2;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;No;Si;No;Si;Si;Si;2;2;Ambos, en colaboración;Si;No estoy seguro/a;Algunas veces
336;Femenino;40 años o más;Distrito 2;Educación primaria;Otro;Medio;No;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;Si;No;No;Si;Si;2;3;Yo mismo/a;Si;Si;Algunas veces
337;Femenino;18 - 25 años;Distrito 2;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No estoy seguro/a;No;Si;Si;Ninguno;3;Yo mismo/a;Si;Si;Algunas veces
338;Masculino;18 - 25 años;Distrito 2;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;No;Si;Si;Si;2;3;Otro;No estoy seguro/a;No estoy seguro/a;No tengo un plan
339;Femenino;40 años o más;Distrito 2;Educación técnica o profesional;Empleado a tiempo parcial;Medio;Si;No estoy seguro/a;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;No estoy seguro/a;Si;Si;No;Si;No;No estoy seguro/a;2;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
340;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;No estoy seguro/a;No estoy seguro/a;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No;Si;No;No;Ninguno;3;Ambos, en colaboración;Si;Si;Siempre
341;Femenino;26 - 39 años;Distrito 2;Educación universitaria;Desempleado;Alto;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;Si;No;No;No;Si;Si;1;3;Yo mismo/a;Si;Si;La mayoría de las veces
342;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;Si;No;No;Si;Si;Si;3;3;Yo mismo/a;Si;Si;La mayoría de las veces
343;Masculino;18 - 25 años;Distrito 2;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No estoy seguro/a;Si;Si;Si;Si;Si;1;3;Otro;Si;Si;La mayoría de las veces
344;Femenino;40 años o más;Distrito 2;Educación técnica o profesional;Estudiante;Medio;Si;No;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No;Si;No;Si;1;1;Mi cónyuge o pareja;Si;No;Algunas veces
345;Masculino;18 - 25 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;No;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;Si;No;Ninguno;3;Yo mismo/a;Si;Si;La mayoría de las veces
346;Masculino;40 años o más;Distrito 2;Educación secundaria;Jubilado;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;Si;Si;Si;Si;Si;Si;Si;Ninguno;2;Ambos, en colaboración;No;No;No tengo un plan
347;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No;No estoy seguro/a;No estoy seguro/a;Si;No;No estoy seguro/a;1;3;Otro;No;Si;Algunas veces
348;Masculino;26 - 39 años;Distrito 2;Educación secundaria;Empleado a tiempo parcial;Bajo;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;No;Si;Si;Si;3;3;Otro;No estoy seguro/a;No;No tengo un plan
349;Masculino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;No estoy seguro/a;No estoy seguro/a;Si;No estoy seguro/a;2;2;Otro;Si;Si;La mayoría de las veces
350;Femenino;26 - 39 años;Distrito 2;Educación universitaria;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;Si;Si;Si;Si;1;2;Mi cónyuge o pareja;Si;Si;La mayoría de las veces
351;Masculino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;No;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No;No;Si;Si;Ninguno;1;Otro;Si;No;Algunas veces
352;Femenino;40 años o más;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Alto;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No;No;No estoy seguro/a;No estoy seguro/a;Si;No estoy seguro/a;Ninguno;2;Ambos, en colaboración;Si;No estoy seguro/a;Algunas veces
353;Masculino;26 - 39 años;Distrito 2;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;No;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No;Ninguno;2;Yo mismo/a;No;No;No tengo un plan
354;Femenino;18 - 25 años;Distrito 2;Educación secundaria;Estudiante;Medio;No estoy seguro/a;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;No;No;No;No estoy seguro/a;No estoy seguro/a;Ninguno;1;Yo mismo/a;Si;Si;Algunas veces
355;Femenino;26 - 39 años;Distrito 2;Educación secundaria;Desempleado;Bajo;Si;No estoy seguro/a;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;No;No;No;No;Si;No;1;3;Mi cónyuge o pareja;No;No;Algunas veces
356;Masculino;26 - 39 años;Distrito 2;Educación universitaria;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;Si;Si;Si;Si;Si;Si;Si;1;2;Mi cónyuge o pareja;Si;Si;La mayoría de las veces
357;Femenino;26 - 39 años;Distrito 2;Educación universitaria;Empleado a tiempo completo;Medio;No;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;Si;No;No;No;Si;No;1;3;Ambos, en colaboración;Si;No;No tengo un plan
358;Femenino;40 años o más;Distrito 2;Educación universitaria;Autónomo;Medio;Si;No;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;No;No;1;3;Ambos, en colaboración;No;No;No tengo un plan
359;Femenino;40 años o más;Distrito 2;Postgrado;Empleado a tiempo completo;Medio;Si;Si;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;3;3;Ambos, en colaboración;Si;Si;La mayoría de las veces
360;Masculino;18 - 25 años;Distrito 2;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;No;Si;No;Si;No estoy seguro/a;Ninguno;3;Otro;No estoy seguro/a;No estoy seguro/a;Algunas veces
361;Masculino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;No estoy seguro/a;Si;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO;No estoy seguro/a;No;Si;Si;No estoy seguro/a;No estoy seguro/a;No;2;2;Yo mismo/a;Si;Si;Algunas veces
362;Masculino;40 años o más;Distrito 2;Educación técnica o profesional;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;Ninguno;3;Mi cónyuge o pareja;Si;Si;Siempre
363;Femenino;40 años o más;Distrito 2;Educación primaria;Autónomo;Medio;Si;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;No;No;No;No estoy seguro/a;No;Si;No;1;2;Otro;No;No;No tengo un plan
364;Femenino;40 años o más;Distrito 2;Educación secundaria;Autónomo;Bajo;Si;No;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;No;No;2;1;Yo mismo/a;Si;Si;Algunas veces
365;Femenino;40 años o más;Distrito 2;Educación secundaria;Autónomo;Medio;Si;No;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;No;Si;2;1;Yo mismo/a;No;No;No tengo un plan
366;Masculino;26 - 39 años;Distrito 2;Educación universitaria;Empleado a tiempo parcial;Bajo;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No estoy seguro/a;Si;No;No;Si;Si;1;2;Ambos, en colaboración;Si;Si;Algunas veces
367;Femenino;40 años o más;Distrito 2;Educación secundaria;Autónomo;Medio;No;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;Si;Si;Ninguno;2;Mi cónyuge o pareja;Si;Si;Siempre
368;Femenino;40 años o más;Distrito 2;Educación universitaria;Empleado a tiempo parcial;Medio;No;No;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;Si;No;No;Si;No;3;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
369;Masculino;40 años o más;Distrito 2;Postgrado;Autónomo;Medio;No estoy seguro/a;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;Si;No;No;No;No;Si;Si;1;3;Ambos, en colaboración;Si;Si;La mayoría de las veces
370;Masculino;26 - 39 años;Distrito 2;Postgrado;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;No;Si;No;No;Si;Si;2;Ninguna;Ambos, en colaboración;No;No;No tengo un plan
371;Masculino;26 - 39 años;Distrito 2;Educación universitaria;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;1;Ninguna;Yo mismo/a;No estoy seguro/a;Si;Algunas veces
372;Femenino;40 años o más;Distrito 2;Educación técnica o profesional;Empleado a tiempo parcial;Medio;No estoy seguro/a;No estoy seguro/a;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;Si;No estoy seguro/a;Ninguno;3;Yo mismo/a;Si;Si;La mayoría de las veces
373;Femenino;18 - 25 años;Distrito 2;Postgrado;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;Si;Si;Si;Si;3;3;Yo mismo/a;Si;Si;La mayoría de las veces
374;Femenino;40 años o más;Distrito 2;Postgrado;Empleado a tiempo parcial;Medio;No estoy seguro/a;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No estoy seguro/a;No estoy seguro/a;No;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;3;2;Ambos, en colaboración;Si;No;No tengo un plan
375;Masculino;26 - 39 años;Distrito 2;Educación universitaria;Empleado a tiempo parcial;Bajo;No estoy seguro/a;No estoy seguro/a;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No;No;No;No;2;1;Yo mismo/a;Si;No estoy seguro/a;Algunas veces
376;Femenino;40 años o más;Distrito 2;Postgrado;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;No;Si;Si;No estoy seguro/a;Si;Si;Ninguno;2;Yo mismo/a;Si;Si;Siempre
377;Masculino;26 - 39 años;Distrito 2;Postgrado;Autónomo;Medio;Si;Si;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO;No estoy seguro/a;No;Si;No estoy seguro/a;Si;Si;No estoy seguro/a;Ninguno;1;Yo mismo/a;No;No estoy seguro/a;No tengo un plan
378;Femenino;26 - 39 años;Distrito 2;Educación secundaria;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;2;1;Yo mismo/a;No;No;No tengo un plan
379;Masculino;40 años o más;Distrito 2;Educación secundaria;Empleado a tiempo parcial;Medio;No;No estoy seguro/a;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No;No;Si;Si;No;No estoy seguro/a;Ninguno;3;Yo mismo/a;No;No;No tengo un plan
380;Femenino;26 - 39 años;Distrito 2;Educación universitaria;Estudiante;Bajo;No estoy seguro/a;No estoy seguro/a;VERDADERO;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;Si;No estoy seguro/a;No;No;Si;No;No;3;3;Otro;No estoy seguro/a;No estoy seguro/a;No tengo un plan
381;Masculino;26 - 39 años;Distrito 2;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;Ninguno;3;Ambos, en colaboración;Si;Si;La mayoría de las veces
382;Femenino;26 - 39 años;Distrito 2;Postgrado;Empleado a tiempo parcial;Alto;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;No estoy seguro/a;No;Si;Si;Si;Si;Si;3;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
383;Femenino;26 - 39 años;Distrito 2;Postgrado;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;No estoy seguro/a;No;No;No;Si;Si;Ninguno;2;Yo mismo/a;Si;Si;Siempre
384;Masculino;40 años o más;Distrito 2;Educación técnica o profesional;Otro;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;3;2;Mi cónyuge o pareja;Si;No;La mayoría de las veces
385;Femenino;40 años o más;Distrito 2;Educación universitaria;Empleado a tiempo completo;Alto;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;Si;No;Si;Si;Si;2;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
386;Masculino;18 - 25 años;Distrito 2;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;No;No;Ninguno;1;Yo mismo/a;Si;Si;La mayoría de las veces
387;Masculino;40 años o más;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;1;2;Ambos, en colaboración;Si;No estoy seguro/a;La mayoría de las veces
388;Femenino;26 - 39 años;Distrito 2;Educación técnica o profesional;Estudiante;Medio;Si;Si;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Si;No estoy seguro/a;Si;No;Si;Si;No estoy seguro/a;3;2;Mi cónyuge o pareja;Si;Si;Siempre
389;Masculino;26 - 39 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No estoy seguro/a;No estoy seguro/a;No;No estoy seguro/a;No estoy seguro/a;No;1;2;Yo mismo/a;No;No;No tengo un plan
390;Masculino;18 - 25 años;Distrito 2;Educación universitaria;Empleado a tiempo parcial;Medio;No estoy seguro/a;Si;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;No;Si;Si;No estoy seguro/a;Ninguno;1;Ambos, en colaboración;Si;Si;La mayoría de las veces
391;Masculino;26 - 39 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;No;Si;No;No;No;Si;Si;1;2;Yo mismo/a;Si;Si;La mayoría de las veces
392;Masculino;26 - 39 años;Distrito 2;Postgrado;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;No;Si;Si;No;Si;No estoy seguro/a;Si;Ninguno;Ninguna;Yo mismo/a;No estoy seguro/a;Si;Algunas veces
393;Masculino;40 años o más;Distrito 2;Educación técnica o profesional;Jubilado;Alto;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;No;Si;Si;No estoy seguro/a;2;3;Yo mismo/a;Si;Si;La mayoría de las veces
394;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;No;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;No;No estoy seguro/a;Si;Si;2;3;Otro;Si;Si;La mayoría de las veces
395;Masculino;18 - 25 años;Distrito 2;Educación universitaria;Empleado a tiempo parcial;Medio;No estoy seguro/a;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;Si;No;No;No;No;Si;Si;3;3;Otro;Si;Si;La mayoría de las veces
396;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;1;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
397;Masculino;18 - 25 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;No;No;No;No;Si;Si;Ninguno;3;Otro;Si;Si;La mayoría de las veces
398;Masculino;40 años o más;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;No estoy seguro/a;No estoy seguro/a;Si;No estoy seguro/a;3;2;Yo mismo/a;Si;Si;Siempre
399;Femenino;26 - 39 años;Distrito 2;Educación universitaria;Estudiante;Medio;Si;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;Si;Ninguno;3;Yo mismo/a;Si;Si;La mayoría de las veces
400;Femenino;18 - 25 años;Distrito 2;Educación técnica o profesional;Otro;Medio;Si;No estoy seguro/a;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No estoy seguro/a;No estoy seguro/a;No;No;No estoy seguro/a;No;3;3;Otro;Si;Si;No tengo un plan
401;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Autónomo;Medio;Si;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;No;No;Ninguno;2;Yo mismo/a;Si;No;La mayoría de las veces
402;Masculino;26 - 39 años;Distrito 2;Educación universitaria;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;No;Si;Ninguno;1;Yo mismo/a;Si;Si;La mayoría de las veces
403;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;No estoy seguro/a;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;No estoy seguro/a;Si;Si;Si;Si;2;3;Ambos, en colaboración;Si;Si;La mayoría de las veces
404;Masculino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;Si;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;Ninguno;Ninguna;Yo mismo/a;Si;Si;Siempre
405;Masculino;18 - 25 años;Distrito 2;Educación primaria;Estudiante;Medio;Si;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;1;Ninguna;Yo mismo/a;Si;Si;Siempre
406;Femenino;40 años o más;Distrito 2;Educación secundaria;Autónomo;Medio;Si;Si;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Si;No;Si;No;No;Si;Si;3;3;Ambos, en colaboración;Si;Si;Siempre
407;Masculino;18 - 25 años;Distrito 2;Educación secundaria;Estudiante;Medio;No estoy seguro/a;No;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;No;No estoy seguro/a;No;No;No;No;No;Ninguno;3;Otro;No;No;No tengo un plan
408;Femenino;40 años o más;Distrito 2;Educación técnica o profesional;Autónomo;Alto;Si;Si;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No estoy seguro/a;No;Si;Si;Si;No;1;1;Mi cónyuge o pareja;Si;Si;Siempre
409;Femenino;18 - 25 años;Distrito 2;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;Si;No;Si;No;Si;No estoy seguro/a;Ninguno;3;Otro;Si;Si;La mayoría de las veces
410;Femenino;26 - 39 años;Distrito 2;Postgrado;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;No estoy seguro/a;No estoy seguro/a;No;Si;Si;Ninguno;2;Yo mismo/a;Si;Si;Siempre
411;Masculino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;Si;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;No;No;Si;Si;Si;Si;Si;1;3;Ambos, en colaboración;Si;Si;Siempre
412;Masculino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;No estoy seguro/a;No estoy seguro/a;Si;No estoy seguro/a;1;3;Yo mismo/a;Si;Si;La mayoría de las veces
413;Masculino;18 - 25 años;Distrito 2;Educación secundaria;Estudiante;Medio;Si;No;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;Si;Si;Si;Si;1;1;Yo mismo/a;Si;Si;Siempre
414;Masculino;40 años o más;Distrito 2;Educación universitaria;Jubilado;Medio;No;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;Si;No;No;No;Si;3;3;Yo mismo/a;Si;Si;Siempre
415;Femenino;26 - 39 años;Distrito 2;Educación primaria;Empleado a tiempo parcial;Medio;No;No;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Si;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No;No;3;2;Yo mismo/a;Si;Si;Siempre
416;Femenino;40 años o más;Distrito 2;Educación secundaria;Otro;Medio;Si;Si;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;3;3;Yo mismo/a;Si;Si;Siempre
